INFO 2025-09-22 17:06:51,305 autoreload 23204 28004 Watching for file changes with StatReloader
INFO 2025-09-22 17:07:14,854 basehttp 23204 5072 "GET /admin/portfolio/profile/1/change/ HTTP/1.1" 200 20940
INFO 2025-09-22 17:07:17,481 basehttp 23204 5072 "GET /admin/ HTTP/1.1" 200 13147
INFO 2025-09-22 17:07:43,424 autoreload 23204 28004 C:\Users\USER\myportfolio\portfolio\serializers.py changed, reloading.
INFO 2025-09-22 17:07:45,843 autoreload 23572 29148 Watching for file changes with StatReloader
INFO 2025-09-22 17:07:57,954 basehttp 23572 19496 "OPTIONS /api/profile/ HTTP/1.1" 200 0
INFO 2025-09-22 17:07:58,149 basehttp 23572 19496 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:07:58,205 basehttp 23572 19496 "OPTIONS /api/skills/ HTTP/1.1" 200 0
INFO 2025-09-22 17:07:58,216 basehttp 23572 20440 "OPTIONS /api/projects/?featured=true&limit=6 HTTP/1.1" 200 0
INFO 2025-09-22 17:07:58,234 basehttp 23572 19496 "OPTIONS /api/experience/ HTTP/1.1" 200 0
INFO 2025-09-22 17:07:58,300 basehttp 23572 20440 "OPTIONS /api/contact/ HTTP/1.1" 200 0
INFO 2025-09-22 17:07:58,455 basehttp 23572 19496 "GET /api/projects/?featured=true&limit=6 HTTP/1.1" 200 1144
INFO 2025-09-22 17:07:58,653 basehttp 23572 19496 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:07:58,736 basehttp 23572 20440 "GET /api/skills/ HTTP/1.1" 200 1009
INFO 2025-09-22 17:07:59,326 basehttp 23572 11328 "GET /api/contact/ HTTP/1.1" 200 451
INFO 2025-09-22 17:08:06,258 basehttp 23572 11328 "GET /api/profile/ HTTP/1.1" 200 1156
INFO 2025-09-22 17:08:06,473 basehttp 23572 19496 "GET /api/experience/ HTTP/1.1" 200 1078
INFO 2025-09-22 17:08:06,481 basehttp 23572 5932 "GET /api/contact/ HTTP/1.1" 200 451
